learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,mape,rmse,status
0.1,12,20,900,127,1.2102615363367482,12.896119972304191,ok
0.1,12,50,300,31,1.1239254026125505,12.071487524102988,ok
0.1,12,50,300,63,1.1339704455258564,12.143498644689638,ok
0.1,12,50,300,127,1.1339704455258564,12.143498644689638,ok
0.1,12,50,600,31,1.1632335396895375,12.464981476834508,ok
0.1,12,50,600,63,1.1611325211187453,12.438193113561269,ok
0.1,12,50,600,127,1.1611325211187453,12.438193113561269,ok
0.1,12,50,900,31,1.1927095974068116,12.704649775050646,ok
0.1,12,50,900,63,1.1884998879611177,12.688409486655187,ok
0.1,12,50,900,127,1.1884998879611177,12.688409486655187,ok
