colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mape,rmse,status
0.9,0.03,7,5,300,0.9,1.1223298466089302,11.906471880862217,ok
0.9,0.03,7,5,300,1.0,1.1056035293498607,11.860082361621519,ok
0.9,0.03,7,5,600,0.8,1.1170703508974213,11.916042382938588,ok
0.9,0.03,7,5,600,0.9,1.1497234185085001,12.151718864136113,ok
0.9,0.03,7,5,600,1.0,1.1337126113280167,12.134840287410212,ok
0.9,0.03,7,5,900,0.8,1.135647838518832,12.095401190903422,ok
0.9,0.03,7,5,900,0.9,1.162950377073207,12.290735441841358,ok
0.9,0.03,7,5,900,1.0,1.1467412700134112,12.293060769956517,ok
0.9,0.03,7,10,300,0.8,1.087528142572016,11.630371467500979,ok
0.9,0.03,7,10,300,0.9,1.0987587183532588,11.722334801287714,ok
0.9,0.03,7,10,300,1.0,1.1038710159482434,11.799889822337299,ok
0.9,0.03,7,10,600,0.8,1.1073044336343918,11.898861016405286,ok
0.9,0.03,7,10,600,0.9,1.128458786387564,12.008979272608476,ok
0.9,0.03,7,10,600,1.0,1.130698252115433,12.061427557127056,ok
0.9,0.03,7,10,900,0.8,1.1279126037473348,12.100077498823943,ok
0.9,0.03,7,10,900,0.9,1.144491038554709,12.16733253689301,ok
0.9,0.03,7,10,900,1.0,1.147323767197697,12.234028093619857,ok
0.9,0.05,3,1,300,0.8,1.0634516726842194,11.440744352609707,ok
0.9,0.05,3,1,300,0.9,1.0730012504410877,11.555199802041022,ok
0.9,0.05,3,1,300,1.0,1.084849149873081,11.586870013595242,ok
0.9,0.05,3,1,600,0.8,1.0969494770686719,11.780472489797639,ok
0.9,0.05,3,1,600,0.9,1.0999753894599351,11.87186466835828,ok
0.9,0.05,3,1,600,1.0,1.1039668090516204,11.856692087651266,ok
0.9,0.05,3,1,900,0.8,1.1084698977726484,11.912511895093365,ok
0.9,0.05,3,1,900,0.9,1.1190635163573601,12.044178685190449,ok
0.9,0.05,3,1,900,1.0,1.1232411528879747,12.099604302441023,ok
0.9,0.05,3,5,300,0.8,1.057390982556246,11.407038452485988,ok
0.9,0.05,3,5,300,0.9,1.0705077207036724,11.528994119219705,ok
0.9,0.05,3,5,300,1.0,1.0776457679118587,11.535210362838654,ok
0.9,0.05,3,5,600,0.8,1.080606488185834,11.668721286185672,ok
0.9,0.05,3,5,600,0.9,1.078738325727256,11.69251723756606,ok
0.9,0.05,3,5,600,1.0,1.0954413494813822,11.756730394161696,ok
0.9,0.05,3,5,900,0.8,1.0895819900430188,11.780625843654478,ok
0.9,0.05,3,5,900,0.9,1.0984177103817427,11.91874605601578,ok
0.9,0.05,3,5,900,1.0,1.1200736240012004,12.04134156590265,ok
0.9,0.05,3,10,300,0.8,1.0541915409133598,11.367035107822307,ok
0.9,0.05,3,10,300,0.9,1.0713309404162497,11.527901409819872,ok
0.9,0.05,3,10,300,1.0,1.0826355269356704,11.579539941615835,ok
0.9,0.05,3,10,600,0.8,1.0801421529215003,11.63794254497061,ok
0.9,0.05,3,10,600,0.9,1.0918316383713949,11.777556774705452,ok
0.9,0.05,3,10,600,1.0,1.116861094786442,11.868703147297678,ok
0.9,0.05,3,10,900,0.8,1.0829466647661847,11.690690622245828,ok
0.9,0.05,3,10,900,0.9,1.1080155163554501,11.952592348535696,ok
0.9,0.05,3,10,900,1.0,1.1398591653126604,12.134204221937742,ok
0.9,0.05,5,1,300,0.8,1.1411523226403624,12.280154915782294,ok
0.9,0.05,5,1,300,0.9,1.1511619018526817,12.24350226865792,ok
0.9,0.05,5,1,300,1.0,1.1394447755337935,12.167140590070032,ok
0.9,0.05,5,1,600,0.8,1.190882901523714,12.660611079328358,ok
0.9,0.05,5,1,600,0.9,1.182798042965572,12.600089420769187,ok
0.9,0.05,5,1,600,1.0,1.1559210288572686,12.380494893170583,ok
0.9,0.05,5,1,900,0.8,1.2073831094146688,12.851263321922925,ok
0.9,0.05,5,1,900,0.9,1.2040134105622886,12.761738558933553,ok
0.9,0.05,5,1,900,1.0,1.1780165416560038,12.548210346522778,ok
0.9,0.05,5,5,300,0.8,1.089951656928201,11.712178361246346,ok
0.9,0.05,5,5,300,0.9,1.1064094257577433,11.797617629132105,ok
0.9,0.05,5,5,300,1.0,1.1022238069152945,11.78684002902178,ok
